,MB Deviation of Compensated Data(%),"Reformer Loading, %","Naphtha Feed Rate, m3/hr","    N+2A in Naphtha Feed, wt%","    N+A in Naphtha Feed, wt%","    C6P- in Naphtha Feed, wt%","    C10+ in Naphtha Feed, wt%","    Sulfer in Naphtha Feed, ppmw","    3R211 Inlet Tem, oC","    3R212 Inlet Temp, oC","    3R213 Inlet Temp, oC","    3R214 Inlet Temp, oC","    WAIT(Weight Average  Inlet Temp), oC",H2/HC Ratio,"    Carbon in Fresh Catalyst, %","    Chlorine in Fresh Catalyst, wt%",Feed    Hydrogen,Feed    Methane,Feed    Ethane,Feed    Propane,Feed    n-Butane,Feed    i-Butane,Feed    C4 Naphthenes,Feed    n-Pentane,Feed    C5 i-Paraffins,Feed    C5 Naphthenes,Feed    n-Hexane,Feed    C6 i-Paraffins,Feed    C6 Naphthenes,Feed    Benzene,Feed    n-Heptane,Feed    C7 i-Paraffins,Feed    C7 Naphthenes,Feed    Toluene,Feed    n-Octane,Feed    C8 i-Paraffins,Feed    C8 Naphthenes,Feed    Ethylbenzene,Feed    P-Xylene,Feed    M-Xylene,Feed    O-Xylene,Feed    n-Nonane,Feed    C9 i-Paraffins,Feed    C9 Naphthenes,Feed    C9 Aromtics,Feed    C10+ n-Paraffins,Feed    C10+ i-Paraffins,Feed    C10+ Naphthenes,Feed    C10+ Aromtics,Sum,Product    Hydrogen,Product    Methane,Product    Ethane,Product    Propane,Product    n-Butane,Product    i-Butane,Product    C4 Naphthenes,Product    n-Pentane,Product    C5 i-Paraffins,Product    C5 Naphthenes,Product    n-Hexane,Product    C6 i-Paraffins,Product    C6 Naphthenes,Product    Benzene,Product    n-Heptane,Product    C7 i-Paraffins,Product    C7 Naphthenes,Product    Toluene,Product    n-Octane,Product    C8 i-Paraffins,Product    C8 Naphthenes,Product    Ethylbenzene,Product    P-Xylene,Product    M-Xylene,Product    O-Xylene,Product    n-Nonane,Product    C9 i-Paraffins,Product    C9 Naphthenes,Product    C9 Aromtics,Product    C10+ n-Paraffins,Product    C10+ i-Paraffins,Product    C10+ Naphthenes,Product    C10+ Aromtics,ProductSum,"Product Separator Pressure, kg/cm2_g","Product Separator Temp, oC","Reformate Flow, m3/hr","    - Aroma in Reformate, wt%","   - C8N+ in Reformate, wt%",    - Reformate RON,"LPG Flow, m3/hr","Net Gas Flow, Nm3/hr","    H2 Purity, mole%","Calibrated Recycle Gas Rate, Nm3/hr","    H2 Purity, mole%","C5+ Yield, (wt% of Feed)",Aroma Yield (wt% of Feed),"    3R211 Temp Drop, oC","    3R212 Temp Drop, oC","    3R213 Temp Drop, oC","    3R214 Temp Drop, oC","    Reactor Total Temp Drop, oC","Carbon in Spent Catalyst, %","Chlorine in Spent Catalyst, wt%",PC4,SAP,SAN
2019/9/1,0.589128614,134.0522979,99.60085732,62.38824948,48.92387109,0.5199844,2.726918192,0.69,525.0109096,525.0008316,525.0179395,516.0129975,520.5121993,1.442642269,0.02137,0.94478,0,0,0,0.067094105,0.156552911,0.372745026,0.14909801,5.218430367,0,5.218430367,263.9034785,112.5689979,1480.543244,64.85763456,6825.949313,5082.59632,11499.84201,3131.80371,8041.448156,6052.364861,10798.09983,1267.868958,703.3173107,1723.166586,1223.64502,3517.725566,6404.042524,2514.496964,1798.867496,357.7643611,1413.709919,137.1425326,124.33456,74551.24171,2585.54392,783.0504223,2167.787832,2652.459291,1190.82788,1204.990967,0.993304672,1659.135828,2504.534535,37.75948118,515.7676282,1265.673063,70.42681401,1975.636787,826.8073303,3256.103296,182.1012062,17601.35878,118.572939,411.2290053,102.1780397,3493.949183,2944.527536,10368.23833,5203.674849,7.924977088,28.8180985,21.61357388,9198.00126,89.39742046,174.5550284,119.1344791,1788.525411,74551.2985,4.700871161,42.76082827,73.87005536,84.77136601,0.391239043,109.25,3.980855072,31638.73421,88.8378,27311.92299,81.1512,85.80084609,70.52045128,128.3952758,82.00692283,48.11812921,30.82825927,289.3485871,3.8015,0.42149,2395.818847,10859.51245,533.2135941
2019/9/2,0.537890415,134.0526805,99.60114163,63.11947373,49.15401115,0.528968262,2.69683819,0.623333333,525.0059848,525.0095335,524.9944537,516.0156792,520.5084815,1.474911417,0.01902,0.93129,0,0,0,0.067155028,0.156695066,0.373083492,0.149233397,5.223168881,0,5.223168881,267.8739469,115.6558824,1469.20279,89.54003797,6665.103512,4976.161037,11313.81652,3230.15687,7974.753604,5984.714888,10743.13565,1325.76738,735.4349534,1801.8566,1279.523914,3637.014288,6542.346878,2597.256086,1848.255617,362.0160712,1410.414265,129.3250766,110.6569409,74621.17531,2603.471849,802.3830285,2194.137215,2121.544325,1468.593369,1563.974566,0.991748674,1688.823654,2555.859747,37.82284306,518.9451778,1269.167228,69.03839082,2007.558642,794.9030974,3157.928124,176.5733269,17650.02719,109.073457,384.6068724,92.05568125,3480.014042,2932.783689,10326.88602,5182.9207,8.026573528,27.7281631,21.89065508,9217.684086,88.5135692,172.7905421,118.8548802,1775.65469,74621.22714,4.696388087,42.81145754,73.77406892,84.90164774,0.375532168,109.4,3.899137714,31743.4608,88.8278,28118.128,80.6043,85.58708224,70.45385217,125.4321334,82.26478491,47.64480266,30.11305634,285.4547773,3.832,0.840015,3032.567935,10777.35795,516.2357773
2019/9/3,0.659616849,134.0254426,99.58090389,63.2595256,49.67137592,0.551922731,2.56064151,0.58,525.0046564,525.0014133,525.0111681,516.004061,520.5055002,1.495015555,0.020545,0.928645,0,0,0,0.134325792,0.313426848,0.746254399,0.29850176,5.223780793,0,5.970035192,276.860382,122.3857214,1469.374912,70.89416791,6771.078494,5079.058215,11674.04071,3258.89296,8063.794305,6129.851734,11042.43897,1282.251129,711.2954457,1742.713461,1237.525533,3486.99166,5947.743015,2616.527615,1728.325188,342.066619,1336.967295,122.3853868,109.7382153,74635.88746,2583.133798,875.0616452,2180.78792,2890.277154,1133.259912,1070.766987,1.117023022,1658.076668,2512.558305,37.74861549,527.0290602,1295.248101,69.69160315,1999.682532,784.9442495,3114.240412,174.8566018,17812.17322,109.323683,381.6961128,94.16219928,3475.81202,2929.242433,10314.41659,5176.662465,7.963960435,27.51186332,20.99589569,9191.858335,94.8228432,185.3894999,127.154454,1778.274916,74635.94108,4.700058778,43.23050627,73.86329136,84.97630971,0.390449232,109.51,4.127683865,31429.18019,88.6913,28253.16644,81.5258,85.6176471,70.58010089,123.9001127,81.43565903,48.51646458,30.7870961,284.6393324,3.763,0.83183,2204.026899,10699.92178,524.6093694
2019/9/4,0.576614047,134.0529041,99.60130773,62.81054346,49.10573765,0.522963393,2.727809053,0.626666667,524.4662771,525.0069144,524.9905728,516.009011,520.4498136,1.475582627,0.01847,0.913635,0,0,0,0.134273084,0.313303863,0.745961578,0.298384631,6.713654198,0,5.221731043,262.5784753,114.1321214,1432.246229,67.13654198,6663.976853,4969.516911,11348.83648,3150.195742,8012.459096,6014.912263,10807.18148,1305.209843,724.0311946,1773.916755,1259.683435,3636.80733,6497.169549,2681.643025,1831.335673,366.7546371,1421.607368,134.1561679,112.4650107,74601.37949,2569.629493,888.7167713,2207.623276,2813.154586,1111.260936,1039.724057,0.992775564,1702.43331,2574.746446,39.18534755,524.5381237,1280.980734,70.90920737,2009.595653,812.4004747,3220.895347,179.1862396,17613.07947,113.1190403,393.1042891,99.36832912,3481.154956,2933.745195,10330.27166,5184.619908,7.294888012,25.53210804,21.15517524,9204.890932,87.61244352,169.0906476,118.2643891,1773.150646,74601.42686,4.700067043,42.68196999,73.94802793,84.73673886,0.384766248,109.28,3.93749129,31361.74568,88.5976,28018.35423,80.8559,85.74946574,70.41488432,124.3091013,81.69061586,49.21930835,31.4014211,286.6204467,3.859,0.851125,2150.984993,10912.74063,528.068688
2019/9/5,0.356958133,134.1532,99.67582756,62.59692905,49.06326702,0.544961853,2.698811083,0.726666667,523.3344213,524.3336916,524.3348402,515.9847266,520.0595692,1.498736226,0.021515,0.913195,0,0,0,0.134355604,0.31349641,0.746420023,0.298568009,6.717780209,0,5.971360186,271.6968885,120.9200438,1435.365705,69.41706216,6688.166027,4994.200407,11432.76885,3094.657416,8018.812712,6033.897213,10834.42649,1292.157136,716.7905453,1756.176761,1247.086014,3628.716226,6481.561256,2682.615296,1819.025597,365.363129,1411.612877,130.4187122,107.1929249,74647.22726,2565.668429,887.8690081,2179.576418,2809.469552,1067.98055,977.9005196,1.119704307,1716.807177,2595.738678,39.40058391,523.4816988,1278.006048,70.41248521,1978.487156,808.4848729,3200.002218,178.5954903,17676.3971,114.4785423,390.8720855,98.6668584,3491.363767,2942.348676,10360.56615,5199.824288,7.954566014,28.9256946,20.97112858,9265.55314,88.70546343,173.7663384,119.8394637,1788.048916,74647.28276,4.695580009,41.24068251,74.19298353,84.80744743,0.384899133,109.32,3.92077672,31395.53453,88.7219,28151.0752,81.8047,85.94780172,70.60215354,122.6720492,80.38328032,48.29238621,31.65855354,283.0062692,3.777,0.87637,2045.88107,10928.34309,527.8860101
2019/9/6,0.636245425,134.1109788,99.64445727,62.50880102,48.8882227,0.532962693,2.886797924,0.54,521.999641,522.9987593,523.0204118,516.0329989,519.4213804,1.48688435,0.01974,0.93063,0,0,0,0.134295385,0.313355897,0.74608547,0.298434188,6.714769231,0,5.96868376,266.3525128,117.1354188,1399.656342,77.59288889,6662.945514,4948.696179,11284.9753,3073.872137,8039.794348,6033.110847,10798.60003,1297.925271,719.990268,1764.01626,1252.652953,3649.678018,6514.003803,2688.386486,1856.26065,370.0306484,1526.767964,136.6336378,120.5165021,74613.7696,2455.566293,1193.546568,2038.662644,2061.615924,1396.450802,1459.148403,0.994644026,1677.953238,2542.106784,37.86268738,519.7634491,1273.37646,70.98990459,1947.627448,819.9392827,3237.534458,179.72054,17571.00837,116.9946241,402.8409489,101.8105492,3488.693511,2940.098316,10352.6422,5195.847372,8.703135226,26.83466695,21.0325768,9319.19287,84.6690727,166.3137973,114.8192197,1789.467184,74613.82795,4.699427099,42.43020421,74.09526052,84.71255238,0.382267972,109.22,3.792925576,30284.87479,87.9363,28146.28237,81.0489,85.78549638,70.50245071,121.6497692,79.47524243,47.92634524,32.5720351,281.623392,3.997,0.857265,2855.599205,10878.02456,526.2354777
2019/9/7,0.554978438,133.6350713,99.29085795,62.31422055,48.7452862,0.545939947,2.722700503,0.54,522.008705,522.9972412,522.9916179,516.0072281,519.4019752,1.465624543,0.021855,0.956945,0,0,0,0.133724119,0.312022943,0.74291177,0.297164708,6.686205928,0,5.943294158,272.6486195,118.8658832,1436.048451,77.26282405,6695.592414,4989.428642,11087.45342,3033.308756,8147.787358,6097.289266,10854.94043,1291.446533,716.3963567,1755.210977,1246.400197,3707.182367,6259.234391,2622.966091,1852.821954,364.8517282,1421.163155,128.1515665,108.7822989,74299.349,2635.234729,749.0585623,2152.023495,2601.60821,1183.21441,1151.675091,0.991561022,1674.498083,2538.395327,36.54011105,514.8480208,1258.893729,68.91253619,1936.50366,854.4713816,3371.997328,183.509707,17276.71136,124.8438199,421.8207855,104.6662468,3471.092008,2925.26464,10300.41002,5169.632766,8.645172661,28.09681115,20.8925006,9378.308091,81.80378432,159.9667859,110.6520128,1804.22264,74299.40539,4.699962646,42.87050287,73.90449005,84.42419393,0.381109313,108.88,3.873494156,32207.15791,89.2755,27560.18441,81.2984,85.90324377,70.33992387,125.0808073,81.64810245,48.72618014,33.20627905,288.661369,3.8585,0.8689,2334.889501,11039.27259,525.1731144
2019/9/8,0.603501891,133.1945677,98.96356379,63.07369905,49.3324102,0.625962442,2.74283543,0.54,521.9999633,523.0042801,523.0027383,516.0010634,519.4018546,1.494803579,0.01946,0.929395,0,0,0,0.133432484,0.311342463,0.741291579,0.296516632,8.154207368,0,7.412915789,306.8947137,140.1041084,1469.981201,80.8007821,6499.538218,4873.723137,11375.49462,3064.499387,7844.063055,5898.136436,10741.17878,1313.473886,728.6154575,1785.148455,1267.659224,3621.921516,6581.140995,2657.605091,1833.214075,366.1609754,1420.687782,133.012419,113.5016246,74133.60564,2628.974096,753.7639979,2178.718607,2602.560656,1183.488356,1128.956066,0.990111117,1635.009753,2483.455602,35.76114837,507.5046769,1255.291058,66.329738,1925.26675,819.9828664,3239.049878,173.7026565,17291.67184,117.2899899,400.5341418,91.71132243,3455.89853,2912.460328,10255.32362,5147.004527,7.082044797,36.11842846,20.53792991,9498.259711,97.27841727,188.4554057,130.5399626,1864.694701,74133.66692,4.700946857,42.38763055,73.70340817,84.69999279,0.392299421,109.05,3.845756797,32240.48117,89.1776,27847.76636,81.9061,85.86681015,70.61647182,125.5149483,82.43325726,48.74686069,32.63110089,289.3261671,3.5645,0.83032,2312.444422,10788.04237,518.5827578
2019/9/9,0.86476774,133.7653727,99.38767194,62.82968376,49.20543792,0.53798386,2.746917592,0.54,521.7772578,522.7745461,522.7583448,516.0199863,519.293487,1.434249319,0.02103,0.93282,0,0,0,0.134008329,0.312686101,0.744490716,0.297796286,5.21143501,0,5.955925726,268.7611484,119.1185145,1419.743795,70.726618,6597.775777,4924.594792,11398.2651,3061.345823,7959.494861,5981.123306,10818.16508,1302.252412,722.3906368,1769.897297,1256.829161,3644.354815,6519.36481,2714.480777,1844.847994,369.4862283,1426.737494,133.7533841,115.1388901,74451.30505,2621.589569,768.6783068,2158.219583,2505.109788,1216.970984,1220.630753,0.995577412,1588.443405,2419.688142,35.65495122,504.2959462,1244.17811,65.47853512,1903.563023,842.5908544,3322.866472,177.7583022,17287.57952,123.366604,425.1434527,93.63331995,3498.881544,2948.684286,10382.87503,5211.020807,7.943109908,29.60613693,20.94092612,9556.92092,90.59754449,176.921527,121.958233,1878.572487,74451.35775,4.700900525,43.1341703,73.84210364,84.74074659,0.380091329,109,3.857920982,31973.28545,89.165,26962.98529,81.4709,85.90731603,70.74162139,124.5866816,82.914916,49.34634879,33.63260239,290.4805488,3.46,0.85253,2437.601737,10776.63688,515.4242676
2019/9/10,0.870743226,134.0476907,99.59743418,63.10344101,49.41266905,0.539908216,2.710539208,0.54,520.9127908,521.8493859,521.7674118,516.0142574,518.8176686,1.472410518,0.02103,0.93282,0,0,0,0.067136181,0.156651089,0.372978783,0.149191513,4.4757454,0,5.221702966,273.766427,118.6072531,1468.790449,73.8497991,6588.090998,4908.670871,11466.0499,3084.534538,7936.348621,5979.546026,10845.42082,1320.779873,732.6682638,1795.078056,1274.710375,3618.616889,6534.846585,2734.445404,1820.88242,362.4455212,1416.405713,131.4719564,111.9677726,74608.43794,2566.542577,797.2664924,2205.67808,2456.622892,1113.755607,1123.371652,1.002804508,1530.662376,2331.405098,38.74550274,544.614285,1338.048534,96.99268886,1915.629127,990.5986116,3848.839269,246.6699339,16963.69176,186.4547612,627.753736,151.6159863,3442.200297,2900.916135,10214.67433,5126.603214,14.44830179,55.04114968,22.01645987,9482.770128,96.64528445,187.7507843,129.5184697,1859.944683,74608.49101,4.697100509,43.03427608,74.7247438,82.90269222,0.483568911,107.88,3.91530895,32034.44053,88.8782,27813.04593,81.2897,86.24253089,69.57174575,118.5226592,81.45820736,47.67479501,34.70158845,282.35725,3.46,0.85253,2237.127259,11753.265,685.5590414
2019/9/11,1.128695976,133.1554483,98.93449812,63.07923464,49.34336147,0.646909433,2.721618973,0.596666667,520.0127572,521.0148841,521.0264801,516.021604,518.4209304,1.531739665,0.02135,0.85576,0,0,0,0.133382625,0.311226125,0.741014583,0.296405833,5.928116667,0,5.928116667,328.2694604,137.8287125,1476.842065,81.51160417,6589.69491,4972.77903,11357.84814,3042.605879,7760.64122,5824.493854,10643.07774,1323.872076,734.383583,1799.280684,1277.69472,3592.133822,6560.580338,2773.544232,1804.370511,358.3248866,1410.703145,131.8253977,116.1882667,74111.83254,2438.683914,831.6878585,2326.540331,2536.18155,1007.119348,1041.300545,1.243057407,1546.411355,2333.912192,43.56882713,602.7711438,1450.168254,156.4398444,1864.483407,1109.185017,4174.253026,343.8918316,16436.32656,248.9886479,834.9218394,208.2457118,3317.708018,2796.0002,9845.245487,4941.192005,23.12534725,97.78718267,25.76824408,9324.173609,94.34805718,187.6168685,127.3823078,1795.215078,74111.88667,4.699348031,43.26223385,74.25161601,81.04674569,0.581329808,107.13,4.015507243,30786.77793,88.0447,29045.5622,80.47285,86.26029229,67.8978051,113.2083564,76.85313805,44.94426723,33.22849853,268.2342602,4.479,0.82204,2048.419893,12704.73199,905.2967668
2019/9/12,1.62664154,132.5763013,98.50419184,62.92622988,49.28260896,0.617944385,2.696757292,0.653333333,520.3938629,521.4613569,521.5277773,516.0075719,518.6443201,1.436988277,0.02135,0.85576,0,0,0,0.199213694,0.464831953,1.106742745,0.442697098,5.164799476,0.737828497,5.902627972,309.15014,132.8091294,1373.098832,96.65553304,6627.630302,5014.004304,10974.28447,3058.299118,7804.622573,5895.862692,11139.2489,1293.261944,717.4034086,1757.67831,1248.152285,3544.856153,6340.48937,2674.708973,1783.331476,357.199909,1389.806253,130.1410606,112.7762322,73789.49011,2336.711681,869.8940197,2459.886337,2641.65519,883.6060475,963.2485487,1.236359213,1502.013247,2249.928973,46.2645429,608.1469725,1449.835687,193.9784762,1742.966537,1193.735169,4341.439361,418.5220563,16569.68617,294.9306016,976.6358494,252.2440427,3271.667182,2757.199262,9708.620044,4872.621592,28.40672431,131.7039036,29.05233168,8865.931916,94.95238755,191.3877083,127.7468157,1713.687294,73789.54303,4.696663762,43.42982238,73.99807059,80.1607222,0.661570798,106.38,4.167532412,29756.63656,87.2112,27399.91195,79.656,86.23620941,67.08590129,112.1755618,75.98121205,43.8905328,32.64771565,264.6950223,4.479,0.82204,1846.854596,13064.35294,1067.808265
